ID,المدينة,اسم المنشأة,درجة تصنيف المنشأة,رقم الجوال,البريد الالكتروني,العنوان,الموقع الالكتروني
43,الدمام,شركة الاهلي للاستشارات الهندسية شركة مهنية شخص واحد,6,566282236,info@ahli.com.sa,4865 طريق الملك سعود - حي المزروعية الدمام 32414 - 6725,www.ahli.com.sa
44,الدمام,ريف للاستشارات الهندسية,6,530452854,maktabreef@gmail.com,شارع الملك عبدالعزيز - حى البديع - عمارة اباحسين للكهرباء,https://reef-eng.com/en
45,الدمام,مكتب المهندس وليد موسى المطهر,,506661606,almutahhar.arch@gmail.com,الدمام - حي العنود - شارع الملك عبدالعزيز - مبنى عبدالمحسن المؤمن التجاري,www.almutahhar.com
46,الدمام,البعد الاحترافي للإستشارات الهندسية,6,502558844,professionaldimension@gmail.com,الدمام - حي الفيصلية - شارع عمر بن الخطاب - مبنى رقم 8439,https://twitter.com/profess38753715
47,الدمام,مكتب عبدالله سعود العبدالمغني للمساحة الأرضية,,544441298,asamso@hotmail.com,الدمام شارع الملك فهد بن عبدالعزيز حي الاتصالات,asamso.com
48,الدمام,شركة ادراك الظهران للاستشارات الهندسية شخص واحد,6,505801326,muaigefa@hotmail.com,6827طريق الأمير محمد بن فهد الفرعي- حي المنتزه - الدمام رمز بريدي 34242 رقم اضافي 2264 الدور الثالث مكتب 303,Demo.edrakpm.com
49,الدمام,المؤسسة الأهلية للمقاولات لصاحبها حمد بن ثواب الخالدي,5,505872121,,,
50,الدمام,شركة نبيه عبد المحسن البراهيم وشريكه جعفر محمد آل ابراهيم للاستشارات الهندسية,,569743298,ARCH.MAHMOUDMARZOUK@GMAIL.COM,مقابل امانه الشرقية,WWW.ITECGROUP.COM
51,الدمام,عمار ناصر البطاط للإستشارات الهندسية,2,509011411,info@archammar.com,السيفة - مجمع ستار مول,www.ano.sa
52,الدمام,مؤسسة محمد العجيمى للمقاولات,1,560667492,,,
53,الدمام,إسناد وإنجاز للاستشارات الهندسية,6,555554497,eng.turki@isnadinjaz.com.sa,الدمام حي الواحة,https://instagram.com/isnad_injaz?utm_medium=copy_link
54,الدمام,رؤية المستقبل للاستشارات الهندسية,2,550999648,gm.mnabiha@gmail.com,شارع الملك عبد العزيز - حي الدواسر - مقابل امانة المنطقة الشرقية,thefuturevision.net
55,الدمام,الديوانـيـة للاستشارات الهندسية,1,509977177,majeed.moumen@gmail.com,الدمام شارع الملك سعود حي الجلوية,www.vmpsc-consult.com
56,الدمام,أركان العمارة للاستشارات الهندسية,,508511155,Talal.aok@gmail.com,شارع علي بن ابي طالب,www.arkan.com.sa
57,الدمام,شركة محمد يحي آل زياره للتجارة والمقاولات المحدودة,6,505880737,cons@ziyarah.com,حي العدامة,www.ziyarah.com
58,الدمام,شركة بحرزاف المحدودة,5,567700554,,,
59,الدمام,التوكيلات الانشائية الحديث للاستشارات الهندسية,5,590807006,zomastare130@gmail.com,الدمام - حي الخالدية - طريق الملك فيصل,www.zakialbesh.com
60,الدمام,شركة عبدالعزيز محمد العثمان وشركاه مهندسون استشاريون,1,501044405,info@amo.com.sa,شارع سلمان الفارسي,info2amo.com.sa
61,الدمام,جاب للاستشارات الهندسية,1,505858000,jamal@jabco.sa,شارع الأمير تركي,www.jabconsult.sa
62,الدمام,شركة ثبات للإنشاءات المحدودة,1,505844770,,,
63,الدمام,شركة على بن حيدر اليامى وأولاده للتجارة والمقاولات,2,598181888,info@alihaiderco.com,حي غرناططة - شارع الملك خالد,www.alihaiderco.com
64,الدمام,شركة أبهج للاستشارات المهنية مهنية شركة شخص واحد,5,535991222,info@enw.sa,الدمام- حي النهضه,Enw.sa
65,الدمام,بداية للاستشارات الهندسية,6,582921811,Bidaya.engineering@gmail.com,الخفجي,bidaya.engineering
66,الدمام,الحصان للاستشارات الهندسية,6,509396060,info@hec.sa,شارع الازدي,www.hec.sa
67,الدمام,ديوان العمارة للاستشارات الهندسية,6,555804965,dewan-alemara@hotmail.com,طريق الملك فهد / حي احد,www.dew
68,الدمام,مؤسسة ناصر منيع الخليوي للمقاولات,1,581152899,nasiralkhaliwy@yahoo.com,,
69,الدمام,شركة التميمي للخدمات والصيانه العالميه,1,553658919,,,
70,الدمام,شركة الوسيط المعمارية المحدودة شركة شحص واحد,6,555829596,,,
71,الدمام,شركة الإدارة القيمية ومساندة المشاريع للمقاولات والتدريب,4,509977177,vmpsc.co@gmail.com,الدمام شارع الملك سعود حي الجلوية,www.vmpsc-consult.com
72,الدمام,الخدمات الهندسية والفنية للاستشارات الهندسية,2,548055595,monier78@yahoo.com,الدمام - شارع عثمان بن عفان - حي الريان,www.etsco.sa
73,الدمام,مكتب علي احمد مختار للاستشارات الهندسية,,505812833,ali.adamawi@gmail.com,,
74,الدمام,شركة محمد يحيى آل زيارة للاستشارات الهندسية,6,505880737,eng@ziyarah.com,حي العدامة,www.ziyarah.com
75,الدمام,ذوق البناء للإستشارات المهنية,1,545678064,info@zawqalbenaa.com,طريق الملك فيصل - حي المزروعية - الدمام,https://www.zawqalbenaa.com/
76,الدمام,شركة أريس للاستشارات الهندسية,1,505801060,thinkbig@mwae.sa,الدمام حي الفيصلية شارع ابو بكر الصديق,www.mwae.sa
77,الدمام,شركة القصيبي للخدمات المحدوده شركة شخص واحد,2,503801868,,,
78,الدمام,عبدالرحمن الربيعة للاستشارات الهندسية,1,539494412,hrd@alrabiah.com.sa,,
79,الدمام,القطر العربي للاستشارات الهندسية,6,555019858,salahmarzoqi@yahoo.com,"الرياض طريق الدائري الجنوبي الفرعي، شبرا",https://goo.gl/maps/sqpm8AEZaR1yo9Hu7
80,الدمام,المنيفة للاستشارات الهندسية,6,541787276,salman@almanifa.com,2609,Google.com
81,الدمام,مؤسسة عالم الرؤية الذكية للمقاولات,6,504805962,ceo@tdconsult.com.sa,,
82,الدمام,القيمة للاستشارات الهندسية,6,555828896,info@valengcon.com,طريق خادم الحرمين- عمارة الشرق الاوسط الدور الرابع,valengcon.com
83,الدمام,مكتب نبيل محمد القاضي للاستشارات الهندسية,,544514449,akarfaj_66@hotmail.com,حي الناصرية,www.nabilconslt.com.sa
84,الدمام,مؤسسة حمود محمد الجلهمي للمقاولات,6,554610953,hmaljalhamiest@yahoo.com,,
85,الدمام,مؤسسة ناصر مبارك فهد العجمي للمقاولات العامة,6,544602766,,,
86,الدمام,شركة نباتات للمقاولات مساهمة مقفلة,1,566622053,alsafeee@hotmail.com,,
87,الدمام,مؤسسة مخلد عواض بن عايض المطيري للمقاولات العامة,6,544602766,,,
88,الدمام,شركة حزم الشرقية للتجارة والمقاولات,5,542800014,,,
89,الدمام,علي محمد الشخل للاستشارات الهندسية,6,554999199,info@amscons.sa,حي الجوهرة شارع الزخرف,amscons.sa
90,الدمام,مؤسسة التطوير التنظيمي للمقاولات العامة,6,502277571,,,
91,الدمام,مؤسسة الملحم للمقاولات العامة,2,556418886,radi@impact.sa,الاحساء - الهفوف - شارع الامام علي بن ابي طالب,www.impact.sa
92,الدمام,مؤسسة درع الاسكان للتشغيل والصيانة,6,544947734,majeed1915@hotmail.com,,
93,الدمام,شركة فريق المصاعد العالمية,5,549270005,,,
94,الدمام,شركة تأجير معدات الطاقه المحدوده,1,553888121,,,
95,الدمام,مؤسسة انماء وتطوير الخليج للمقاولات,6,569336675,waleedhmrawy123@gmail.com,,
96,الدمام,رتيل للاستشارات الهندسية,6,506805148,info@rateelconsultants.com,حي الجوهرة,www.rateelconsultants.com
97,الدمام,رباعيات للاستشارات الهندسيه,6,567972266,quadrant.company1@gmail.com,شارع ابو بكر الصديق,https://www.linkedin.com/company/79605256//
98,الدمام,سعد عادل المعمر للاستشارات الهندسية,1,504846393,saad@ehya.sa,الدمام - الشاطئ الغربي-طريق الخليج 2570-32413,www.ehya.sa
99,الدمام,مؤسسة شريان الشرق للمقاولات,6,554990078,,,
100,الدمام,شركة اتحادي السعودية للبنية التحتية,6,503444142,f.moussawi66@gmail.com,,
101,الدمام,مؤسسة بندر خشمان الشيباني للمقاولات العامة,,594203043,,,
102,الدمام,الشركة السعودية للتسويق أسواق المزرعة - - -,6,562226261,Abojani@hotmail.com,,
103,الدمام,وتيرة للاستشارات الهندسية,6,544464243,arch.alsubaie@hotmail.com,حي النور,www.wateerah.net
104,الدمام,مؤسسة محمد مشبب علي القحطاني للمقاولات,6,555554497,,,
105,الدمام,مؤسسة جواهر التصاميم للمقاولات,6,545219112,,,
106,الدمام,بناء السعودية للاستشارات الهندسية,,541796566,bina@omranarch.com,شارع سلمان الفارسي - حي الأعمال,www.binaeng.com
107,الدمام,التعامد للاستشارات الهندسية,6,558999727,info@taamud.com,6128 طريق الملك عبد العزيز 34241 الدمام المملكة العربية السعودية مركز الحمراء حي النهضة البوابة 2 الدور 1 مكتب 120,www.taamud.com
108,الدمام,ريف الأمثل للاستشارات الهندسية,6,555678179,reefco.consult@gmail.com,شارع الملك عبدالعزيز,http://reef-eng.com
109,الدمام,تصميم المشاريع للاستشارات الهندسية,6,555822512,hasan.s.alsalem@gmail.com,حي أحد,www.pdecon-ksa.com
110,الدمام,شركة الخريجي للمقاولات المحدودة,6,,NULL,,
111,الدمام,شركة التعاون العربية المحدودة (شركة شخص واحد),6,544662888,,,
112,الدمام,شركة حسين علي ال محروس للمقاولات العامه,3,564888103,,,
113,الدمام,المنزل الرفيع للهندسة المدنية,6,544377334,Mohammmed.kh1@gmail.com,المنار,http://whitedoor-sa.com/
114,الدمام,مؤسسة بساط الريح للمقاولات العامه,6,540929304,,,
115,الدمام,شركة درة المنامة للتطوير والاستثمار العقاري (شركة شخص واحد),6,538099950,,,
116,الدمام,تكامل وبناء للهندسة المدنية,6,500077450,info@tkamol.net,الدمام,tkamol.net
117,الدمام,شركة عبدالحميد بن محمد بن عبدالرحمن الجعفري للاستشارات الهندسية شركة مهنية شخص واحد,6,506932479,aj.eng.consulting@gmail.com,الأحساء الهفوف الروضة,www.jcon.com
118,الدمام,شركة برج العرب للاستشارات الهندسية,6,561265811,borjalarab.eng@gmail.com,الشارع الرابع تقاطع ينبع حي الثبة مقابل جمعية البر للاعمال الخيريه,www.borj-alarab.com
119,الدمام,مؤسسة زينب عبدالله ال عيسى للمقاولات العامة,6,504999132,naseem_22@hotmail.com,,
120,الدمام,مؤسسة الرمح المتقدمة للمقاولات,6,599974559,,,
121,الدمام,الاتجاهات الشامخه للمقاولات,6,541371313,,,
122,الدمام,انماء الشرق للاستشارات الهندسية,2,553029991,nmsaa2030@gmail.com,حي المريكبات - شارع عثمان بن عفان,www.inmaalsharq.com
123,الدمام,مؤسسة الأكنان الشرقية للمقاولات,6,505808079,,,
124,الدمام,شركة تمكين للاستثمار والتطوير العقاري مساهمه مقفله,4,558185050,,,
125,الدمام,نطاق المنزل للهندسة المعمارية,6,543799909,G.bm5@hotmail.com,حي بدر,www.gbr.com
126,الدمام,نطاق العمارة للاستشارات الهندسية,6,599888820,hmh-1988@hotmail.com,حي النورس - مبنى بتورمين للأعمال,archzonesa.com
127,الدمام,بنيان بن محمد بن فردان ال مهذل الصقور للاستشارات الهندسية,6,505725886,Bin_ayan@hotmail.com,الدمام - حي أحد - شارع أبو بكر الصديق - بجوار البنك الأهلي,aa.com
128,الدمام,مجموعه السلطان للمقاولات العامة,6,508333368,,,
129,الدمام,مؤسسة اعمار الندى للمقاولات العامة,6,504823181,,,
130,الدمام,سمير عبدالقادر محمد أكبر للاستشارات الهندسية,6,560020099,sameer@sameer-design.com,الخبر حي الخزامي,www.akbardesgin.com
131,الدمام,شركة الاعمار المباشر للمقاولات المعمارية (شركة شخص واحد),6,543233766,,,
132,الدمام,المنارة الذهبية للاستشارات الهندسية,5,534093274,alameer.hamza@gmail.com,الرابية,https://instagram.com/manarah_sa?r=nametag
133,الدمام,ابداع التميز للاستشارات الهندسية,5,532200660,meshal1231@hotmail.com,الدمام,not.com
134,الدمام,رسمات للهندسة المعمارية,6,501277530,eng.saeed.alyami@gmail.com,الدمام,https://maps.app.goo.gl/oLTgYu959nhjdwsD7?g_st=iw
135,الدمام,المكتب الهندسي للتصميم والاستشارة,5,551419414,info56@amcde.com,,
136,الدمام,شركة خليفة عبداللطيف الملحم المحدودة,2,554527552,m.alaff@kamco-sa.com,,
137,الدمام,شركة احتراف الانشاء للمقاولات,6,534479241,,,
138,الدمام,شركة الثلاثي للمقاولات العامة,6,505479130,mr_saeed1@hotmail.com,,
139,الدمام,مؤسسة الفارس الشرقي للمقاولات العامة,6,503851038,,,
140,الدمام,مؤسسة سلسلة العطاء للمقاولات العامة,6,504808737,,,
141,الدمام,مؤسسة أبراج النور للمقاولات العامة,6,533103564,,,
142,الدمام,نواف احمد بن عبدالله الخريصي الزهراني للهندسة المدنية,6,596227728,n.alzahrani39@gmail.com,الدمام حي النور,www.n.zahrani.com
143,الدمام,مؤسسة نصرالله عثمان للمقاولات,2,505814351,ABUOMAR1055@GMAIL.COM,,
144,الدمام,بسمه خيري عبدالحليم بدر للاستشارات الهندسية,6,505858709,basmabader@gmail.com,"Femco Building.office 203 AlsafaDammam,ksa",www.bbac-saudi.com
145,الدمام,اعمار السعودية للاستشارات الهندسية,6,504550990,engineering@emaaralsaudia.com.sa,dammam,www.emaaralsaudia.com.sa
146,الدمام,مؤسسة سفران آل راكان للمقاولات,6,507235516,,,
147,الدمام,رعد الشمال للاستشارات الهندسية,,506366221,i.saleh@ntec.sa,حي النورس,www.ntec.sa
148,الدمام,شركة الأنهر للمقاولات,6,561500529,,,
149,الدمام,مؤسسة مصطفى سعد الراجح للمقاولات,5,542555145,,,
150,الدمام,عبدالرحمن صالح يوسف المعيبد للهندسة المدنية,6,555881181,Abubasma251@gmail.com,الخبر,www.j.sa
151,الدمام,إنتماء للاستشارات الهندسية,2,505874430,pecco.2022@gmail.com,العليا برج الربيعه والنصار الشمالي /207,www.pecco.co
152,الدمام,غيم موف للإستشارات الهندسية,2,540047060,faris.m.busaleh@gmail.com,"الدمام و حي العنود طريق الملك سعود 32426 ,2972",www.cluod.co
153,الدمام,مؤسسة الكسب المبارك للمقاولات العامة,6,503828233,,,
154,الدمام,مؤسسة حاضر البناء للمقاولات,6,569444845,,,
155,الدمام,مؤسسة نزهة الاندلس للمقاولات العامة,6,505166346,,,
156,الدمام,فدن للاستشارات الهندسية,3,590807006,hazemstare@hotmail.com,الدمام - حي الخالدية - طريق الملك فيصل,www.fedncon.com
157,الدمام,حمد عبدالكريم صادق المؤمن للمساحة الأرضية,6,592820889,h-w-1411@hotmail.com,الدمام حي المحمدية,Ali-Almomin.com
158,الدمام,شركة نافي للتطوير العقاري,6,500001550,,,
159,الدمام,مؤسسة نزهة الخير للمقاولات,6,554448273,,,
160,الدمام,شركة خالد آرت المحدودة شركة شخص واحد,1,567606060,,,
161,الدمام,مؤسسة سعيد سعد الغامدي للمقاولات,6,505971315,khalid-al-ghamdi@hotmail.com,,
162,الدمام,مؤسسة خالد سعيد الغامدي للمقاولات,6,555890909,,,
163,الدمام,شركة أيدي كون للأستشارات الهندسية,6,544591667,info@ertidad.com,طريق مجلس التعاون . حي الخزامى,ERTIDAD.COM
164,الدمام,مؤسسة مزاد الشرقية للمقاولات,6,508040004,amq22amq@hotmail.com,,
165,الدمام,مداره للاستشارات الهندسية,5,555819299,abdulaziz@modarah.com,حي المريكبات,www.modarah.com
166,الدمام,مؤسسة أنشاء للتطوير العقاري,6,580755554,,,
167,الدمام,شركة أصول المستقبل للاستثمار والتنمية المحدودة,6,505847930,Abdullah.A.Nouh@al-nouh.com,,
168,الدمام,رباعيات كود للاستشارات الهندسية,1,535888153,Alyami.1211@gmail.com,32273 شارع ابوبكر الصديق - حي المنار - الدمام,https://robaeyat-consultation.business.site/?utm_source=gmb&utm_medium=referral
169,الدمام,الخطوط الاحترافية للاستشارات الهندسية,6,541644543,aabd8717@gmail.com,الدمام,not.com
170,الدمام,مؤسسة محمد الزغيبي للمقاولات,5,504804197,,,
171,الدمام,مؤسسة الخيوط الماسيه للمقاولات العامة,6,564686981,,,
172,الدمام,شركة جمارا للتطوير العقاري (شركة شخص واحد),6,564686981,,,
173,الدمام,مؤسسة الفن المعماري الحديث للمشاريع,6,504911199,,,
174,الدمام,شركة مساكن الظهران للمقاولات المعمارية (شركة شخص واحد),6,540400405,,,
175,الدمام,بناء السعودية للاستشارات الهندسية,,541796566,bina@omranarch.com,شارع سلمان الفارسي - حي الأعمال,www.binaeng.com
176,الدمام,مؤسسة رواحل الابداع للمقاولات,6,503838285,,,
177,الدمام,مؤسسة بوابة التطوير للمقاولات,5,556919191,,,
178,الدمام,شركة ابتكارات السلامة,6,505812833,ali.adamawi@gmail.com,,
179,الدمام,شركةالمعرفة و التخطيط للمقاولات العامة,4,505802209,,,
180,الدمام,شركة المباني العالمية للمقاولات شركة شخص واحد,6,503852453,,,
181,الدمام,مؤسسة يحي سلمان الغزواني للمقاولات,6,590409991,ysgport@yahoo.com,,
182,الدمام,مؤسسة عمر عبدالله بن محمد الهريري للمقاولات,6,597578200,,,
183,الدمام,عفارا للاستشارات الهندسية,6,566306888,mkalsham@gmail.com,النور,Afara.com
184,الدمام,مؤسسة رموز الإنشاءات والعمارة للمقاولات العامة,6,593356032,adas_dm@yahoo.com,الدمام,consarchsymbols.sa
185,الدمام,مؤسسة أمجاد العدل للمقاولات العامة,6,568091081,,,
186,الدمام,مؤسسة رموز المهارة للمقاولات العامة,6,568397565,ateeih@gmail.com,شارع الملك عبدالله - طيبة,www.ramooz-sa.com
187,الدمام,مؤسسة بيسك ون للمقاولات,6,536174171,,,
188,الدمام,ديار التصميم للهندسة المدنية,6,500363613,khaled.ashadawi@gmail.com,محافظة خليص,https://www.dar.com/
189,الدمام,مؤسسة السوق الحره للمقاولات العامة,6,558185555,,,
190,الدمام,شركة منار الاسكان للتجارة والمقاولات شركة الشخص الواحد شركة شخص واحد,6,553330225,,,
191,الدمام,شركة كيان الصناعية المحدودة شركة شخص واحد,6,552244554,,,
192,الدمام,شركة سواعد الشرق للاستثمارات و التطوير العقاري والمقاولات (شركة شخص واحد),5,555888055,,,
193,الدمام,مؤسسة معمار المتطورة للمقاولات العامة,6,505370494,mohammed.umran9@gmail.com,الخبر,https://energy-environment-advisory-enterprise-green-energy-supplier.business.site/
194,الدمام,شركة جاب التعمير للمقاولات,5,504842928,,,
195,الدمام,مؤسسة بناءات التطوير العمراني للمقاولات العامة,6,558185050,,,
196,الدمام,مؤسسة وليد ابراهيم القصير للمقاولات العامة,6,506800056,,,
197,الدمام,عبدالله علي الجعيب للاستشارات الهندسية,5,543338996,contracts@aljoaib.com,الدمام حي الروضة,https://www.aljoaib.com/
198,الدمام,شركة سالم بالحمر للمقاولات العامة المحدودة,3,599444425,,,
199,الدمام,شركه الفهاد زيجوارد شركة شخص واحد,3,548888977,,,
200,الدمام,مؤسسة علي عبدالمحسن الحواج للمقاولات,6,505861345,,,
201,الدمام,مؤسسة وتد العمارة للمقاولات,6,551875110,,,
202,الدمام,دارنا الاولى للاستشارات الهندسية,6,505944055,firstdarna.arch@gmail.com,الدمام- طريق الخليج- حي الزهور,www.darna.com
203,الدمام,مكتب زوايا العزم للاستشارات الهندسية,6,544662888,asmsa331@gmail.com,حي الفردوس,asmsa331.com
204,الدمام,دروب العمارة للاستشارات الهندسية,6,582563368,daroopchitecture@gmail.com,حي المنار - طريق الملك فهد,www.droobachitecture.com
205,الدمام,شركة أبعاد التصاميم للاستشارات الهندسية,6,555615250,fbe1481973@gmail.com,,
206,الدمام,خالد بن عبدالله الخالدي للاستشارات الهندسية,6,567606060,ceo@khalid-art.com,حي الشاطي,www.au.com
207,الدمام,إلتزام للاستشارات الادارية,6,555913000,ceo@ltzaam.com,6827 مكتب 305 برج الإداد - حي المنتزه,www.ltzaam.com
208,الدمام,خبير المساحة للمسح والاستكشاف الجيولوجي,6,559866210,rayanx12341234@gmail.com,الخزامى,https://expert-ksa.com/
209,الدمام,تصاميم النخبة للاستشارات الهندسية,2,544615429,info@ndecc.com,الدمام- حي العزيزية - طريق الخليج,http://ndecc.com
210,الدمام,راسم العمران للهندسة المدنية,6,561999456,SAAD.BUHYAN@GMAIL.COM,,
211,الدمام,إثراء العوالي للاستشارات الهندسية,6,540088081,al3almi-2000@hotmail.com,الفردوس برج الخزامى,https://ithraaeldamam.com/
212,الدمام,شركة الحلول الرائعة للاستشارات الهندسية شركة شخص واحد,6,536267039,saudsalem1993@gmail.com,حي العمامره شارع الملك عبدالعزيز,gsconsul.com
213,الدمام,الطيف الحديث للاستشارات المهنية,6,552231562,info@taifalmustaqbal.com,الدمام حي المنار شارع ابو بكر الصديق,taifalmustaqbal.com
214,الدمام,محمد عبدالله الخالدي وشركاؤه للاستشارات المهنية,6,567288882,info@mapco.site,الدمام,http://www.mapco.site
215,الدمام,أساس المشاريع للاستشارات الهندسية,6,508171115,info@asasprojects.sa,ص.ب 3987 / الرمز البريدي ? 32241 ? الدمام - شارع الأمير المنصور ? المملكة العربية السعودية,www.asasprojects.sa
216,الدمام,تطوير وإعمار للاسنتشارات الهندسية,6,547667575,Nebras596@hotmail.com,,
